"GBP/JPY","60分"
"日時","始値","高値","安値","終値"
"2018-04-07 05:00:00","150.568","150.712","150.534","150.712"
"2018-04-07 04:00:00","150.477","150.664","150.407","150.565"
"2018-04-07 03:00:00","150.511","150.669","150.439","150.478"
"2018-04-07 02:00:00","150.849","150.852","150.460","150.511"
"2018-04-07 01:00:00","150.795","151.010","150.730","150.849"
"2018-04-07 00:00:00","150.838","150.898","150.652","150.799"
"2018-04-06 23:00:00","150.880","151.210","150.833","150.840"
"2018-04-06 22:00:00","150.471","150.990","150.358","150.878"
"2018-04-06 21:00:00","150.261","150.510","150.253","150.473"
"2018-04-06 20:00:00","150.486","150.492","150.253","150.259"
"2018-04-06 19:00:00","150.385","150.575","150.378","150.486"
"2018-04-06 18:00:00","150.421","150.496","150.329","150.386"
"2018-04-06 17:00:00","150.332","150.485","150.241","150.422"
"2018-04-06 16:00:00","150.316","150.347","150.198","150.332"
"2018-04-06 15:00:00","150.104","150.348","150.073","150.320"
"2018-04-06 14:00:00","150.247","150.267","150.057","150.105"
"2018-04-06 13:00:00","150.123","150.343","150.092","150.247"
"2018-04-06 12:00:00","150.232","150.278","150.097","150.123"
"2018-04-06 11:00:00","150.179","150.325","150.161","150.232"
"2018-04-06 10:00:00","150.081","150.198","149.908","150.181"
"2018-04-06 09:00:00","149.996","150.126","149.948","150.081"
"2018-04-06 08:00:00","150.041","150.076","149.870","149.998"
"2018-04-06 07:00:00","150.361","150.418","150.026","150.037"
"2018-04-06 06:00:00","150.317","150.382","150.299","150.363"
"2018-04-06 05:00:00","150.456","150.482","150.311","150.319"
"2018-04-06 04:00:00","150.409","150.467","150.312","150.456"
"2018-04-06 03:00:00","150.281","150.416","150.249","150.411"
"2018-04-06 02:00:00","150.251","150.331","150.111","150.279"
"2018-04-06 01:00:00","150.358","150.422","150.246","150.251"
"2018-04-06 00:00:00","150.409","150.418","150.049","150.359"
"2018-04-05 23:00:00","150.212","150.490","150.124","150.408"
"2018-04-05 22:00:00","150.084","150.216","150.057","150.212"
"2018-04-05 21:00:00","150.160","150.189","149.958","150.086"
"2018-04-05 20:00:00","150.467","150.529","150.091","150.159"
"2018-04-05 19:00:00","150.522","150.533","150.303","150.466"
"2018-04-05 18:00:00","150.377","150.551","150.377","150.522"
"2018-04-05 17:00:00","150.454","150.558","150.251","150.371"
"2018-04-05 16:00:00","150.425","150.672","150.389","150.444"
"2018-04-05 15:00:00","150.333","150.564","150.282","150.426"
"2018-04-05 14:00:00","150.443","150.471","150.282","150.338"
"2018-04-05 13:00:00","150.536","150.617","150.421","150.446"
"2018-04-05 12:00:00","150.572","150.600","150.506","150.536"
"2018-04-05 11:00:00","150.630","150.646","150.482","150.571"
"2018-04-05 10:00:00","150.600","150.646","150.414","150.630"
"2018-04-05 09:00:00","150.411","150.612","150.268","150.602"
"2018-04-05 08:00:00","150.390","150.431","150.335","150.410"
"2018-04-05 07:00:00","150.342","150.400","150.313","150.390"
"2018-04-05 06:00:00","150.271","150.356","150.236","150.342"
"2018-04-05 05:00:00","150.367","150.404","150.275","150.291"
"2018-04-05 04:00:00","150.199","150.384","150.163","150.363"
"2018-04-05 03:00:00","149.994","150.268","149.915","150.199"
"2018-04-05 02:00:00","150.115","150.120","149.906","149.992"
"2018-04-05 01:00:00","149.956","150.164","149.914","150.116"
"2018-04-05 00:00:00","150.054","150.139","149.874","149.956"
"2018-04-04 23:00:00","149.635","150.078","149.596","150.054"
"2018-04-04 22:00:00","149.434","149.723","149.362","149.635"
"2018-04-04 21:00:00","149.060","149.505","148.792","149.435"
"2018-04-04 20:00:00","148.977","149.200","148.972","149.058"
"2018-04-04 19:00:00","149.165","149.165","148.825","148.972"
"2018-04-04 18:00:00","149.485","149.512","149.130","149.165"
"2018-04-04 17:00:00","149.569","149.573","149.247","149.489"
"2018-04-04 16:00:00","149.996","149.996","149.426","149.569"
"2018-04-04 15:00:00","149.987","150.075","149.897","150.002"
"2018-04-04 14:00:00","150.059","150.074","149.912","149.987"
"2018-04-04 13:00:00","150.062","150.087","150.009","150.060"
"2018-04-04 12:00:00","149.987","150.076","149.977","150.062"
"2018-04-04 11:00:00","149.951","150.100","149.932","149.987"
"2018-04-04 10:00:00","149.989","150.015","149.845","149.951"
"2018-04-04 09:00:00","149.734","149.995","149.670","149.982"
"2018-04-04 08:00:00","149.765","149.813","149.696","149.728"
"2018-04-04 07:00:00","149.831","149.882","149.743","149.764"
"2018-04-04 06:00:00","149.815","149.909","149.791","149.831"
"2018-04-04 05:00:00","149.837","149.912","149.790","149.811"
"2018-04-04 04:00:00","149.776","149.933","149.724","149.835"
"2018-04-04 03:00:00","149.733","149.786","149.525","149.779"
"2018-04-04 02:00:00","149.595","149.832","149.550","149.733"
"2018-04-04 01:00:00","149.709","149.817","149.577","149.595"
"2018-04-04 00:00:00","149.566","149.857","149.566","149.706"
"2018-04-03 23:00:00","149.436","149.651","149.294","149.562"
"2018-04-03 22:00:00","149.471","149.668","149.319","149.436"
"2018-04-03 21:00:00","149.253","149.497","149.253","149.471"
"2018-04-03 20:00:00","148.961","149.348","148.870","149.254"
"2018-04-03 19:00:00","149.396","149.470","148.961","148.961"
